epoch,train_loss,train_acc,test_acc,test_loss
1,1.6094649904119849,0.25,0.0,1.650013189106161
2,1.599911674100885,0.3,0.0,1.6874538662151388
3,1.592162291482098,0.25,0.0,1.7219298060362629
4,1.5858436916346799,0.35,0.0,1.7536533931537264
5,1.5806713286761123,0.3,0.0,1.7828333474013125
6,1.576418991965819,0.35,0.0,1.8096921984813625
7,1.5729108329330597,0.35,0.0,1.8344002378389277
8,1.570005874898981,0.35,0.0,1.857152830075686
9,1.5675929235833064,0.35,0.0,1.8781100389556855
10,1.565580191326735,0.35,0.0,1.897404813182772
11,1.5638998671802893,0.35,0.0,1.9151816461376838
12,1.5624917453692917,0.35,0.0,1.9315669072892123
13,1.5613091873320064,0.3,0.0,1.946683963991554
14,1.5603132311668872,0.35,0.0,1.960619534946248
15,1.5594715871163187,0.35,0.0,1.973501254660744
16,1.5587596556648577,0.35,0.0,1.9853839517351404
17,1.5581561524152672,0.35,0.0,1.996365797658908
18,1.5576433494998885,0.35,0.0,2.006526115640874
19,1.5572060646525439,0.4,0.0,2.015907820634149
20,1.5568326024188375,0.35,0.0,2.0245980572804942
21,1.5565135775616166,0.3,0.0,2.0326484790430377
22,1.5562411218126049,0.4,0.0,2.0400879602923525
23,1.5560065912883836,0.4,0.0,2.0469972035392017
24,1.5558045872665107,0.4,0.0,2.0533951750871995
25,1.5556311606813793,0.35,0.0,2.0593339835491893
26,1.555481361099698,0.4,0.0,2.0648337224211124
27,1.5553522599903773,0.45,0.0,2.0699413904101474
28,1.5552399441306874,0.5,0.0,2.0746837641264912
29,1.5551430029644777,0.4,0.0,2.0790884444450257
30,1.5550587281193682,0.5,0.0,2.083180667479499
31,1.5549848034724167,0.45,0.0,2.086994569865446
32,1.5549208151698073,0.55,0.0,2.0905250030120115
33,1.5548649572362798,0.45,0.0,2.09381641378476
34,1.5548159930201062,0.5,0.0,2.0968811918939534
35,1.554773634530586,0.5,0.0,2.099726292766403
36,1.5547357193835347,0.5,0.0,2.102390803851861
37,1.554703629110695,0.55,0.0,2.1048587792260274
38,1.5546742599260241,0.55,0.0,2.107157596748648
39,1.5546480698001586,0.55,0.0,2.1093034889931688
40,1.5546255900609292,0.55,0.0,2.111308032597882
41,1.5546060875978664,0.55,0.0,2.1131790428219777
42,1.5545875304730068,0.55,0.0,2.114915872259825
43,1.5545722998316873,0.55,0.0,2.1165455147408494
44,1.554557807586562,0.55,0.0,2.11805923176997
45,1.5545452969804991,0.55,0.0,2.119480789494143
46,1.5545347304802262,0.55,0.0,2.120807900215246
47,1.5545239953025085,0.55,0.0,2.1220303686115383
48,1.5545146908140806,0.55,0.0,2.1231908257355383
49,1.5545067766253198,0.55,0.0,2.1242828494793193
50,1.5544990477019258,0.55,0.0,2.1252812839978037
51,1.5544922393209233,0.55,0.0,2.126224560732506
52,1.554485597654123,0.55,0.0,2.127108679702338
53,1.5544809528252044,0.55,0.0,2.1279411246692796
54,1.5544741189584128,0.55,0.0,2.128721745561495
55,1.5544698693687373,0.6,0.0,2.1294441068771177
56,1.5544645631527496,0.55,0.0,2.1301154852011708
57,1.5544615558415587,0.55,0.0,2.130762999175608
58,1.5544567437441845,0.55,0.0,2.1313438378435294
59,1.5544528931064712,0.55,0.0,2.131898601391551
60,1.5544486153297157,0.55,0.0,2.132429769906311
61,1.554446267975292,0.6,0.0,2.132920373970607
62,1.5544425396027326,0.6,0.0,2.1333695947118323
63,1.5544396241323852,0.6,0.0,2.1338107609000567
64,1.5544361174564119,0.6,0.0,2.1342136078534297
65,1.5544344460046624,0.55,0.0,2.1345987409402816
66,1.5544310103630217,0.6,0.0,2.1349520878675032
67,1.554428882723074,0.65,0.0,2.135291828547004
68,1.5544251020420274,0.6,0.0,2.1355983063647033
69,1.5544233879503626,0.6,0.0,2.13590083025746
70,1.554419985539829,0.6,0.0,2.13617262537809
71,1.5544193506657855,0.55,0.0,2.1364416393137056
72,1.5544155938942756,0.6,0.0,2.1366806970112147
73,1.554414591385136,0.55,0.0,2.136916420744407
74,1.5544107099204136,0.6,0.0,2.13712441062219
75,1.5544093178285265,0.6,0.0,2.1373412998201484
76,1.5544062528648082,0.6,0.0,2.137527518827272
77,1.5544043180893066,0.6,0.0,2.13771121223153
78,1.5544019113526222,0.6,0.0,2.137882873991141
79,1.5544004441049288,0.6,0.0,2.1380382842126027
80,1.5543973999254517,0.6,0.0,2.1381874176832034
81,1.5543959145989064,0.6,0.0,2.138335830437051
82,1.55439345515806,0.6,0.0,2.138475545293095
83,1.5543905588414546,0.65,0.0,2.138589132065982
84,1.5543891440073772,0.65,0.0,2.1387175144701738
85,1.5543865433412885,0.6,0.0,2.1388183985600353
86,1.5543837053589704,0.6,0.0,2.1389349493073073
87,1.554380609246061,0.65,0.0,2.1390329305682103
88,1.5543798784164626,0.65,0.0,2.1391212607665646
89,1.554378543632855,0.6,0.0,2.139212139162926
90,1.5543737511702491,0.6,0.0,2.139307499469932
91,1.5543707554163273,0.65,0.0,2.1393770826927896
92,1.5543700233942188,0.65,0.0,2.1394503175689734
93,1.5543654884003473,0.7,0.0,2.1395345916391153
94,1.5543644556080396,0.65,0.0,2.1395997879625095
95,1.5543593945831724,0.7,0.0,2.1396587347700087
96,1.5543592300695512,0.7,0.0,2.1397129923089095
97,1.5543559435195669,0.65,0.0,2.1397810270907383
98,1.5543545747522183,0.65,0.0,2.1398285229218046
